artist_rank,artist_id,artist_name,main_genre,total_year_end_score
1,0k17h0D3J5VfsdmQ1iZtE9,"Pink Floyd","Rock",763854
2,3WrFJ7ztbogyGnTHbHJFl2,"The Beatles","Rock",649486
3,7dGJo4pcD2V6oG8kP0tJRR,Eminem,"Hip Hop",585375
4,5UloVKzUNJcjORzhhTWWiJ,"The Karaoke Channel","Other",539482
5,3fMbdgg4jU18AjLCKBhRSm,"Michael Jackson","Pop",513899
6,0rvjqX7ttXeg3mTy8Xscbt,Journey,"Rock",456347
7,06HL4z0CvFAxyc27GXpf02,"Taylor Swift","Pop",429325
8,22bE4uQ6baNwSHPVcDxLCe,"The Rolling Stones","Rock",429032
9,3TVXtAsR1Inumwj472S9r4,Drake,"Hip Hop",425699
10,2ye2Wgw4gimLv2eAKyk1NB,Metallica,"Rock",408514
11,3PhoLpVuITZKcymswpck5b,"Elton John","Rock",358584
12,6roFdX1y5BYSbp60OTJWMd,"Tim McGraw","Country & Folk",354572
13,7jmTilWYlKOuavFfmQAcu6,"Barbra Streisand","Jazz",350151
14,36QJpDe2go2KgaRleHCDTp,"Led Zeppelin","Rock",344607
15,3qm84nBOXUEQ2vnTfUTTFC,"Guns N' Roses","Rock",338729
16,6tbjWDEIzxoDsBA1FuhfPW,Madonna,"Pop",337112
17,08GQAI4eElDnROBrJRGE0X,"Fleetwood Mac","Rock",308464
18,485uL27bPomh29R4JmQehQ,"Bob Seger","Rock",302855
19,5vngPClqofybhPERIqQMYd,"George Strait","Country & Folk",295949
20,4dpARuHxo51G3z768sgnrY,Adele,"Blues & Soul",293838
21,3iDD7bnsjL9J4fO298r0L0,Chicago,"Jazz",290477
22,0du5cEVh5yTK9QJze8zA0C,"Bruno Mars","Pop",289495
23,3grHWM9bx2E9vwJCdlRv9O,"Kenny Chesney","Country & Folk",286178
24,2QsynagSdAqZj3U9HgDzjD,"Bob Marley & The Wailers","Reggae",285745
25,09L3cUdx0hq6qn5bKuJJ4I,"Herb Alpert & The Tijuana Brass","Jazz",285246
