album_rank,album_name,artist_name,album_popularity
1,beerbongs & bentleys,Post Malone,95
2,?,XXXTENTACION,92
3,Scorpion,Drake,92
4,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Various Artists,92
5,ASTROWORLD,Travis Scott,91
6,Goodbye & Good Riddance,Juice WRLD,90
7,Sweetener,Ariana Grande,89
8,Love Yourself 結 'Answer',BTS,89
9,Shawn Mendes,Shawn Mendes,88
10,Origins (Deluxe),Imagine Dragons,88
11,Invasion of Privacy,Cardi B,87
12,Pray for the Wicked,Panic! At The Disco,87
13,BALLADS 1,Joji,87
14,COSMIC,Bazzi,86
15,Aura,Ozuna,86
16,Kamikaze,Eminem,86
17,Trench,Twenty One Pilots,86
18,Camila,Camila Cabello,85
19,Drip Harder,Gunna,85
20,Sick Boy,The Chainsmokers,85
21,DUMMY BOY,6ix9ine,85
22,Championships,Meek Mill,85
23,Culture II,Migos,84
24,Youngblood (Deluxe),5 Seconds of Summer,84
25,Swimming,Mac Miller,84
26,Bohemian Rhapsody (The Original Soundtrack),Queen,84
27,Northsbest (Extended),Lil Mosey,84
28,NOT ALL HEROES WEAR CAPES (Deluxe),21 Savage,84
29,Die Lit,Playboi Carti,83
30,Voicenotes,Charlie Puth,83
31,Come Over When You're Sober Pt. 2,Lil Peep,83
32,I met you when I was 18. (the playlist),Lauv,83
33,If I Know Me,Morgan Wallen,83
34,Only Human (Deluxe),Calum Scott,83
35,Dying To Live,Kodak Black,83
36,Staying at Tamara's,George Ezra,83
37,Red Pill Blues (Deluxe),Maroon 5,82
38,A Love Letter To You 3,Trippie Redd,82
39,TESTING,A$AP Rocky,82
40,Real Hasta la Muerte,Anuel AA,82
41,STOKELEY,Ski Mask The Slump God,82
42,"Los Campeones del Pueblo The Big Leagues""""",Wisin & Yandel,82
43,My Dear Melancholy,The Weeknd,81
44,Expectations,Bebe Rexha,81
45,Love Yourself 轉 'Tear',BTS,81
46,Tha Carter V,Lil Wayne,81
47,F.A.M.E.,Maluma,81
48,A Brief Inquiry Into Online Relationships,The 1975,81
49,What Is Love? (Deluxe Edition),Clean Bandit,81
50,MANTRA,Sebastian Yatra,81
51,KOD,J. Cole,80
52,Bobby Tarantino II,Logic,80
53,Harder Than Ever,Lil Baby,80
54,Dan + Shay,Dan + Shay,80
55,Speak Your Mind (Deluxe),Anne-Marie,80
56,Golden Hour,Kacey Musgraves,80
57,LIFE'S A TRIP,Trippie Redd,80
58,Vibras,J Balvin,80
59,Fifty Shades Freed (Original Motion Picture Soundtrack),Various Artists,80
60,Look Up Child,Lauren Daigle,80
61,East Atlanta Love Letter,6LACK,80
62,Victory Lap,Nipsey Hussle,80
63,Future & Juice WRLD Present... WRLD ON DRUGS,Juice WRLD,80
64,Bloom,Troye Sivan,80
65,7,David Guetta,80
66,Malibu Nights,LANY,80
67,Head In The Clouds,88rising,80
68,SR3MM,Slim Jxmmi,79
69,ZOO,Russ,79
70,MUDBOY,Sheck Wes,79
71,LoVE me NOw (ReLoAdeD),Tory Lanez,79
72,Last Day Of Summer,Summer Walker,79
73,SKINS,XXXTENTACION,79
74,LM5 (Deluxe),Little Mix,79
75,Girl Code,City Girls,79
76,Day69: Graduation Day,6ix9ine,78
77,The World Is Yours,Rich The Kid,78
78,Mamma Mia! Here We Go Again (Original Motion Picture Soundtrack),Cast Of “Mamma Mia! Here We Go Again”,78
79,Queen,Nicki Minaj,78
80,Suncity,Khalid,78
81,ONEPOINTFIVE,Aminé,78
82,8 Letters,Why Don't We,78
83,Street Gossip,Lil Baby,78
84,Lost & Found,Jorja Smith,78
85,FRIENDS KEEP SECRETS,benny blanco,78
86,Rolling Papers 2,Wiz Khalifa,77
87,YBN: The Mixtape,YBN Nahmir,77
88,Phoenix (Deluxe),Rita Ora,77
89,The Pains Of Growing,Alessia Cara,77
90,You Will Regret (Reloaded),Ski Mask The Slump God,77
91,Back To You (From 13 Reasons Why – Season 2 Soundtrack),Selena Gomez,76
92,STAY DANGEROUS,YG,76
93,KIDS SEE GHOSTS,Kid Cudi,76
94,The Beatles,The Beatles,76
95,QUAVO HUNCHO,Quavo,76
96,Nuthin' 2 Prove,Lil Yachty,76
97,CNCO,CNCO,76
98,SQUARE UP,BLACKPINK,76
99,Icarus Falls,ZAYN,76
100,As She Pleases,Madison Beer,76
