artist_rank,name,main_genre,total_year_end_score
1,Eminem,"detroit hip hop",456889
2,Drake,"canadian hip hop",417534
3,"Taylor Swift","dance pop",342516
4,"Bruno Mars",pop,289495
5,Adele,"british soul",280835
6,"Michael Jackson",pop,279856
7,"Zac Brown Band","contemporary country",251990
8,"Luke Bryan","contemporary country",242678
9,"Blake Shelton","contemporary country",236580
10,Journey,"album rock",232203
11,"Bob Marley & The Wailers",reggae,227232
12,"Ed Sheeran",pop,225643
13,"Pink Floyd","album rock",223945
14,"The Beatles","british invasion",220441
15,"Imagine Dragons","modern rock",206490
16,"Kendrick Lamar","conscious hip hop",187920
17,Metallica,"hard rock",186232
18,"The Weeknd","canadian contemporary r&b",179036
19,"Guns N' Roses","glam metal",174811
20,"Jason Aldean","contemporary country",157326
21,"Florida Georgia Line","contemporary country",153192
22,"Justin Bieber","canadian pop",152961
23,"Lana Del Rey","dance pop",147235
24,Beyoncé,"dance pop",146174
25,"Maroon 5",pop,143845
26,"J. Cole","conscious hip hop",143829
27,"Katy Perry","dance pop",140636
28,"Eric Church","contemporary country",131018
29,Rihanna,"dance pop",128652
30,"Lady Gaga","dance pop",125127
31,"Kanye West","chicago rap",124232
32,"Carrie Underwood","contemporary country",123031
33,"Twenty One Pilots","pop punk",115086
34,"Mumford & Sons",folk-pop,114706
35,"One Direction","boy band",113306
36,"Lady Antebellum","contemporary country",112783
37,"Fleetwood Mac","album rock",110154
38,"Led Zeppelin","album rock",109176
39,"Sam Smith",pop,101556
40,"Five Finger Death Punch","alternative metal",100819
41,P!nk,"dance pop",100817
42,AC/DC,"album rock",99790
43,"Nicki Minaj","dance pop",97675
44,"Miranda Lambert","contemporary country",95555
45,Future,"atl hip hop",93416
46,"Kenny Chesney","contemporary country",90181
47,"Ariana Grande","dance pop",87208
48,Nirvana,"alternative rock",86788
49,"Shawn Mendes","canadian pop",86180
50,"Panic! At The Disco","baroque pop",86009
51,"Tim McGraw","contemporary country",84883
52,"Lil Wayne","hip hop",84450
53,"Linkin Park","alternative metal",83257
54,"Thomas Rhett","contemporary country",81903
55,"Michael Bublé","adult standards",81887
56,"Bob Seger","album rock",81424
57,Nickelback,"alternative metal",81325
58,OneRepublic,"dance pop",79920
59,"Chris Stapleton","contemporary country",79000
60,"Sam Hunt","contemporary country",77329
61,"Chris Brown","dance pop",76956
62,"Fall Out Boy",emo,74414
63,"The Black Keys","alternative rock",72708
64,"Brantley Gilbert","contemporary country",72052
65,G-Eazy,"hip hop",71984
66,"The Lumineers",folk-pop,71286
67,"Herthey Hill",-,70670
68,"Casting Crowns","anthem worship",69834
69,"Kelly Clarkson","australian pop",68538
70,"Keith Urban","australian country",67909
71,"Tom Petty and the Heartbreakers","album rock",67802
72,"Childish Gambino","atl hip hop",67689
73,Halsey,"dance pop",66705
74,"Big Sean","detroit hip hop",64239
75,Coldplay,"permanent wave",63122
76,Kesha,"dance pop",62616
77,"Red Hot Chili Peppers","alternative rock",62004
78,"Trey Songz","dance pop",61412
79,"Demi Lovato","dance pop",61172
80,Sia,"australian dance",60279
81,"Rae Sremmurd","hip hop",59145
82,"Florence + The Machine","baroque pop",58481
83,Train,"neo mellow",57754
84,"Bryson Tiller",pop,57560
85,"The Band Perry","contemporary country",57545
86,"Dierks Bentley","contemporary country",57011
87,"Foo Fighters","alternative metal",56712
88,"John Legend","neo mellow",56573
89,"Travis Scott",pop,56425
90,"Justin Timberlake","dance pop",56300
91,"Meghan Trainor","dance pop",56172
92,Logic,"conscious hip hop",54870
93,"The Chainsmokers",electropop,53743
94,"Jason Derulo","dance pop",53472
95,"Chris Tomlin",ccm,53188
96,"Kid Rock","alternative metal",53109
97,Hozier,folk-pop,53100
98,Eagles,"album rock",53055
99,"Chris Young","contemporary country",52834
100,"Lil Uzi Vert","philly rap",52527
