artist_name,song_name,weeks_on_chart,first_week,last_week
"Imagine Dragons",Radioactive,87,2012-08-18,2014-05-10
AWOLNATION,Sail,79,2011-09-03,2014-03-22
"Jason Mraz","I'm Yours",76,2008-05-03,2009-10-10
"LeAnn Rimes","How Do I Live",69,1997-06-21,1998-10-10
OneRepublic,"Counting Stars",68,2013-07-06,2014-10-18
Adele,"Rolling in the Deep",65,2010-12-25,2012-04-14
"Carrie Underwood","Before He Cheats",64,2006-09-16,2007-12-01
"The Lumineers","Ho Hey",62,2012-06-23,2013-08-24
Lifehouse,"You And Me",62,2005-02-12,2006-04-22
"Imagine Dragons",Demons,61,2013-01-26,2014-07-05
NULL,"Macarena (Bayside Boys Mix) - (Tribute to Los Del Rio)",60,1995-09-02,1997-02-08
"Lady Antebellum","Need You Now",60,2009-08-29,2010-10-16
"Ed Sheeran","Shape of You",59,2017-01-28,2018-03-03
"John Legend","All of Me",59,2013-09-21,2014-12-06
"The Fray","How to Save a Life",58,2006-04-15,2007-06-02
NULL,"Smooth (As Made Famous By Santana Featuring Rob Thomas)",58,1999-07-31,2000-09-02
"Ed Sheeran","Thinking out Loud",58,2014-10-25,2015-11-28
"Ed Sheeran",Perfect,57,2017-03-25,2018-10-06
"Kings of Leon","Use Somebody",57,2008-10-11,2010-03-13
Creed,Higher,57,1999-09-11,2000-12-02
fun.,"Some Nights",56,2012-03-10,2013-03-30
"The Black Eyed Peas","I Gotta Feeling",56,2009-06-27,2010-07-17
NULL,"I Don't Want to Wait",56,1997-11-01,1998-11-21
"Faith Hill","The Way You Love Me",56,2000-03-11,2001-05-26
NULL,Missing,55,1995-08-12,1996-08-24
Lonestar,Amazed,55,1999-06-05,2000-08-19
"Duncan Sheik","Barely Breathing",55,1996-11-30,1997-12-13
Avicii,"Wake Me Up",54,2013-07-13,2018-05-05
"Sam Smith","Stay With Me",54,2014-04-19,2015-05-02
"Matchbox Twenty",Unwell,54,2003-03-22,2004-03-27
Train,"Hey, Soul Sister",54,2009-10-17,2010-10-23
Lifehouse,"Hanging By A Moment",54,2001-02-10,2002-02-16
Next,"Too Close",53,1998-02-14,1999-02-13
NULL,"Drops Of Jupiter (Tell Me)",53,2001-03-17,2002-03-16
"WALK THE MOON","Shut Up and Dance",53,2014-11-22,2015-11-28
"3 Doors Down",Kryptonite,53,2000-04-08,2001-04-07
"The Band Perry","If I Die Young",53,2010-07-24,2011-12-10
Bastille,Pompeii,53,2013-08-31,2014-08-30
"Faith Hill",Breathe,53,1999-11-06,2000-11-04
"Imagine Dragons",Thunder,52,2017-05-20,2018-05-05
"Twenty One Pilots","Stressed Out",52,2015-05-16,2016-10-01
"Fetty Wap","Trap Queen",52,2015-02-07,2016-01-30
NULL,"CAN’T STOP THE FEELING!",52,2016-05-28,2017-05-20
"James Arthur","Say You Won't Let Go",52,2016-11-12,2017-11-04
"Savage Garden","Truly Madly Deeply",52,1997-12-06,1998-11-28
"Imagine Dragons",Believer,52,2017-02-25,2018-02-10
NULL,"Meant To Be",52,2017-11-11,2018-10-27
"Third Eye Blind","How's It Going to Be",52,1997-12-06,1998-11-28
"Bruno Mars","That's What I Like",52,2016-12-10,2018-01-20
"Shawn Mendes",Stitches,52,2015-06-13,2016-06-04
Coldplay,"Viva La Vida",51,2008-05-24,2009-05-09
"Rascal Flatts","What Hurts The Most",51,2006-02-18,2007-02-03
"3 Doors Down","Here Without You",51,2003-08-30,2004-08-14
"Carly Rae Jepsen","Call Me Maybe",50,2012-03-10,2013-02-16
"Taylor Swift","Shake It Off",50,2014-09-06,2015-08-15
"Finger Eleven",Paralyzer,50,2007-06-23,2008-05-31
"Taylor Swift","You Belong With Me",50,2008-11-22,2010-04-17
Nickelback,Someday,50,2003-08-23,2004-07-31
"Taylor Swift","Love Story",49,2008-09-27,2009-08-29
"Blues Traveler",Run-Around,49,1995-03-25,1996-02-24
Nickelback,"How You Remind Me",49,2001-09-08,2002-08-10
NULL,Rockstar,49,2006-10-14,2008-01-26
"Lady Gaga","Just Dance",49,2008-08-16,2009-07-25
"Faith Hill","This Kiss",48,1998-03-21,1999-02-13
"Of Monsters and Men","Little Talks",48,2012-04-21,2013-05-04
"The Weeknd","The Hills",48,2015-06-13,2016-05-07
NULL,"F**k You(Forget You)",48,2010-09-11,2011-08-06
"Bruno Mars","Just the Way You Are",48,2010-08-07,2011-07-02
"Lee Ann Womack","I Hope You Dance",48,2000-05-13,2001-08-04
NULL,"Counting Blue Cars",48,1996-04-06,1997-03-01
"Dua Lipa","New Rules",48,2017-08-19,2018-07-07
NULL,"Big Girls Don't Cry (Personal)",48,2007-05-05,2008-03-29
NULL,"Teardrops On My Guitar - Radio Single Remix",48,2007-03-24,2008-05-17
"Meghan Trainor","All About That Bass",47,2014-07-26,2015-06-13
"Imagine Dragons","It's Time",47,2012-06-23,2013-05-11
OneRepublic,Apologize,47,2007-04-21,2008-07-05
Usher,"You Make Me Wanna...",47,1997-08-23,1998-07-11
"The Tony Rich Project","Nobody Knows",47,1995-12-16,1996-11-02
"Taio Cruz",Dynamite,47,2010-06-19,2011-05-07
NULL,"With Arms Wide Open",47,2000-05-13,2001-03-31
"Colbie Caillat",Bubbly,47,2007-06-02,2008-05-31
"Kelly Clarkson",Breakaway,46,2004-08-28,2005-07-09
Sia,Chandelier,46,2014-05-24,2015-04-04
"Hunter Hayes",Wanted,46,2012-05-12,2013-03-23
NULL,"Since U Been Gone",46,2004-12-18,2005-10-29
DNCE,"Cake By The Ocean",46,2015-11-07,2016-09-17
"Janet Jackson","Together Again",46,1997-12-20,1998-10-31
Staind,"It's Been Awhile",46,2001-04-14,2002-02-23
NULL,"Get Low featuring Ying Yang Twins",45,2003-05-03,2004-03-06
"The Calling","Wherever You Will Go",45,2001-11-10,2002-09-14
Rihanna,"Needed Me",45,2016-02-20,2016-12-24
"Snow Patrol","Chasing Cars",45,2006-06-03,2007-04-07
NULL,"100% Pure Love",45,1994-05-28,1995-04-01
Usher,"Yeah! (feat. Lil Jon & Ludacris)",45,2004-01-10,2004-11-13
"3 Doors Down","When I'm Gone",45,2002-11-23,2003-09-27
"Portugal. The Man","Feel It Still",45,2017-07-08,2018-05-05
NULL,"Another Night",45,1966-12-24,1995-07-01
Gorillaz,"Feel Good Inc.",45,2005-05-28,2006-04-01
NULL,"Whoomp! (There It Is)",45,1993-05-29,1994-04-02
Des'ree,"You Gotta Be",44,1994-09-03,1995-07-01
