song_rank,song_name,artist_name,release_date,total_year_end_score
1,Radioactive,Imagine Dragons,9/4/2012,10623
2,Counting Stars,OneRepublic,1/1/2013,8563
3,Rolling in the Deep,Adele,1/19/2011,8163
4,Sail,AWOLNATION,11/19/2013,7928
5,Shape of You,Ed Sheeran,3/3/2017,7670
6,Perfect,Ed Sheeran,3/3/2017,7064
7,Thinking out Loud,Ed Sheeran,6/21/2014,6949
8,All of Me,John Legend,8/30/2013,6586
9,CAN'T STOP THE FEELING!,Justin Timberlake,8/18/2017,6578
10,Wake Me Up,Avicii,1/1/2013,6395
11,Stay With Me,Sam Smith,1/1/2014,6380
12,That's What I Like,Bruno Mars,11/17/2016,6309
13,Shake It Off,Taylor Swift,1/1/2014,6275
14,Demons,Imagine Dragons,9/4/2012,6198
15,Trap Queen,Fetty Wap,9/25/2015,6190
16,Call Me Maybe,Carly Rae Jepsen,1/1/2012,6101
17,Meant To Be,Bebe Rexha,11/8/2017,6017
18,Some Nights,fun.,2/14/2012,5982
19,Believer,Imagine Dragons,6/23/2017,5868
20,Just the Way You Are,Bruno Mars,10/5/2010,5846
21,The Hills,The Weeknd,8/28/2015,5801
22,Need You Now,Lady Antebellum,1/1/2010,5792
23,Dynamite,Taio Cruz,1/1/2010,5683
24,Stitches,Shawn Mendes,4/14/2015,5668
25,Stressed Out,Twenty One Pilots,5/15/2015,5661
26,All About That Bass,Meghan Trainor,1/9/2015,5651
27,F**k You(Forget You),CeeLo Green,9/7/2010,5516
28,"Hey, Soul Sister",Train,12/1/2010,5493
29,Shut Up and Dance,WALK THE MOON,12/2/2014,5406
30,Pompeii,Bastille,1/1/2013,5357
31,Thunder,Imagine Dragons,6/23/2017,5279
32,Say You Won't Let Go,James Arthur,10/28/2016,5245
33,Sorry,Justin Bieber,11/13/2015,5092
34,I Won't Give Up,Jason Mraz,4/13/2012,5081
35,Chandelier,Sia,7/4/2014,5046
36,Sugar,Maroon 5,5/15/2015,5039
37,Royals,Lorde,1/1/2013,5006
38,Love Yourself,Justin Bieber,11/13/2015,4936
39,New Rules,Dua Lipa,6/2/2017,4929
40,Sexy And I Know It,LMFAO,1/1/2011,4922
41,Can't Feel My Face,The Weeknd,8/28/2015,4911
42,Mirrors,Justin Timberlake,3/15/2013,4904
43,Just A Kiss,Lady Antebellum,1/1/2011,4850
44,24K Magic,Bruno Mars,11/17/2016,4831
45,Feel It Still,Portugal. The Man,6/16/2017,4822
46,One More Night,Maroon 5,1/1/2012,4799
47,Rude,MAGIC!,6/25/2014,4705
48,Body Like A Back Road,Sam Hunt,2/1/2017,4626
49,Cake By The Ocean,DNCE,11/18/2016,4611
50,The Middle,Grey,1/23/2018,4590
51,Needed Me,Rihanna,1/28/2016,4586
52,Firework,Katy Perry,3/12/2012,4572
53,Heathens,Twenty One Pilots,6/16/2016,4552
54,Home,Phillip Phillips,1/1/2012,4544
55,Something Just Like This,The Chainsmokers,2/22/2017,4540
56,Panda,Desiigner,6/26/2016,4490
57,Let Her Go,Passenger,11/5/2012,4446
58,SAD!,XXXTENTACION,3/16/2018,4430
59,Scars To Your Beautiful,Alessia Cara,3/11/2016,4428
60,HUMBLE.,Kendrick Lamar,4/14/2017,4400
61,Super Bass,Nicki Minaj,1/1/2010,4390
62,Love Lies,"Khalid, Normani",2/22/2018,4363
63,Attention,Charlie Puth,5/11/2018,4274
64,Treat You Better,Shawn Mendes,4/20/2017,4272
65,God's Plan,Drake,6/29/2018,4266
65,Someone Like You,Adele,1/19/2011,4266
67,Blank Space,Taylor Swift,1/1/2014,4236
68,Too Close,Alex Clare,1/1/2011,4226
69,Take Me To Church,Hozier,7/20/2014,4225
70,I Knew You Were Trouble.,Taylor Swift,10/21/2012,4219
71,Set Fire to the Rain,Adele,1/19/2011,4194
72,Location,Khalid,4/27/2017,4192
73,Stronger (What Doesn't Kill You),Kelly Clarkson,10/24/2011,4191
74,Locked Out of Heaven,Bruno Mars,12/7/2012,4162
75,It's Time,Imagine Dragons,9/4/2012,4088
76,Glad You Came,The Wanted,1/1/2011,4075
77,Good Feeling,Flo Rida,6/22/2012,4073
78,I Like It ( Enrique Iglesias Featuring Pitbull ),Enrique Iglesias,11/2/2010,4052
79,Roar,Katy Perry,1/1/2013,4043
80,Redbone,Childish Gambino,12/2/2016,4021
81,I Took A Pill In Ibiza,Mike Posner,5/6/2016,4016
82,My House,Flo Rida,4/7/2015,4012
83,Hotline Bling,Drake,5/6/2016,4007
84,7 Years,Lukas Graham,4/1/2016,3967
85,I Will Wait,Mumford & Sons,9/21/2012,3961
86,Habits (Stay High),Tove Lo,9/24/2014,3924
87,Turn Down for What,DJ Snake,4/1/2014,3907
88,Sorry Not Sorry,Demi Lovato,9/29/2017,3900
89,I'm Not The Only One,Sam Smith,1/1/2014,3888
90,Want to Want Me,Jason Derulo,5/29/2015,3879
91,Pumped Up Kicks,Foster The People,5/23/2011,3875
92,Bodak Yellow (Money Moves),Cardi B,9/13/2017,3865
93,Better Now,Post Malone,4/27/2018,3864
94,DJ Got Us Fallin' In Love (feat. Pitbull),"Usher, Pitbull",6/21/2013,3852
95,Cheerleader,Omi,4/8/2014,3834
96,Teenage Dream,Katy Perry,3/12/2012,3822
97,Love Me Like You Do,Various Artists,2/9/2018,3814
98,Grenade,Bruno Mars,10/5/2010,3794
99,Never Be the Same,Camila Cabello,1/12/2018,3773
100,Ride,Twenty One Pilots,5/15/2015,3771
