artist_rank,artist_name,main_genre,total_year_end_score
1,"Pink Floyd","album rock",763854
2,"The Beatles","british invasion",649486
3,Eminem,"detroit hip hop",585375
4,"The Karaoke Channel",karaoke,539482
5,"Michael Jackson",pop,513899
6,Journey,"album rock",456347
7,"Taylor Swift","dance pop",429325
8,"The Rolling Stones","album rock",429032
9,Drake,"canadian hip hop",425699
10,Metallica,"hard rock",408514
11,"Elton John","glam rock",358584
12,"Tim McGraw","contemporary country",354572
13,"Barbra Streisand","adult standards",350151
14,"Led Zeppelin","album rock",344607
15,"Guns N' Roses","glam metal",338729
16,Madonna,"dance pop",337112
17,"Fleetwood Mac","album rock",308464
18,"Bob Seger","album rock",302855
19,"George Strait","contemporary country",295949
20,Adele,"british soul",293838
21,Chicago,"adult standards",290477
22,"Bruno Mars",pop,289495
23,"Kenny Chesney","contemporary country",286178
24,"Bob Marley & The Wailers",reggae,285745
25,"Herb Alpert & The Tijuana Brass","adult standards",285246
26,U2,"irish rock",279729
27,"Alan Jackson","contemporary country",274258
28,"Blake Shelton","contemporary country",274158
29,"Zac Brown Band","contemporary country",269493
30,"The Beach Boys","baroque pop",259894
31,Eagles,"album rock",257491
32,AC/DC,"album rock",255301
33,Aerosmith,"album rock",254401
34,Prince,funk,253853
35,"Mariah Carey","dance pop",251982
36,"Rod Stewart","adult standards",249580
37,"Luke Bryan","contemporary country",247740
38,"Mega Tracks Karaoke Band",karaoke,246656
39,"Billy Joel","album rock",242532
40,"Bruce Springsteen","heartland rock",241658
41,Beyoncé,"dance pop",238578
42,Nirvana,"alternative rock",236272
43,"Phil Collins","mellow gold",233797
44,"Whitney Houston","dance pop",229923
45,"Bob Dylan","album rock",228672
46,"Ed Sheeran",pop,225643
47,"Céline Dion","canadian pop",224018
48,"The Temptations","classic soul",223925
49,"Maroon 5",pop,220666
50,"Bon Jovi","glam metal",219960
51,"Eric Clapton","album rock",217469
52,"Brooks & Dunn","contemporary country",216763
53,Nickelback,"alternative metal",211929
54,Rihanna,"dance pop",211310
55,"Stevie Wonder",motown,210990
56,"Imagine Dragons","modern rock",207296
57,"Carrie Underwood","contemporary country",206683
58,"Jason Aldean","contemporary country",204529
59,P!nk,"dance pop",203212
60,Queen,"glam rock",203005
61,"Toby Keith","contemporary country",202717
62,"Original Soundtrack",-,201482
63,"Kanye West","chicago rap",201445
64,"Linkin Park","alternative metal",200419
65,"Neil Diamond","adult standards",200040
66,"Van Halen","album rock",199019
67,"Tom Petty and the Heartbreakers","album rock",197025
68,"Bee Gees",disco,196672
69,"Frank Sinatra","adult standards",196373
70,"Simon & Garfunkel",folk,192051
71,"John Denver",folk,190841
72,"Aretha Franklin","classic soul",190720
73,"Red Hot Chili Peppers","alternative rock",189768
74,"Kendrick Lamar","conscious hip hop",188068
75,"Kenny G","smooth jazz",183820
76,"The Weeknd","canadian contemporary r&b",183792
77,"Elvis Presley",rock-and-roll,183222
78,"Barry Manilow","adult standards",180745
79,"R. Kelly",-,180252
80,"John Mellencamp","album rock",179443
81,"Carole King","adult standards",177406
82,"Bill Cosby",-,176332
83,"Lil Wayne","hip hop",173170
84,Santana,blues-rock,170727
85,Alabama,"contemporary country",170421
86,"Keith Urban","australian country",169812
87,"Daryl Hall & John Oates","album rock",169323
88,"Michael Bolton","adult standards",169089
89,"Katy Perry","dance pop",167488
90,"Lionel Richie","adult standards",166657
91,"Pearl Jam","alternative rock",165046
92,"David Bowie","album rock",163088
93,Coldplay,"permanent wave",162504
94,"Brad Paisley","contemporary country",161909
95,"Lady Gaga","dance pop",161465
96,"ZZ Top","album rock",159549
97,"The Doobie Brothers","album rock",159507
98,"Michael Bublé","adult standards",158163
99,KISS,"album rock",157997
100,"Dave Matthews Band","jam band",157836
