"","popularity","explicit","duration_ms","key","mode","time_signature","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","valence","tempo","duration_min"
"popularity",1,0.247528415989257,0.152359491534933,0.00835816268388415,-0.0828132639056532,0.0738567861520645,-0.223918437481438,0.0921321386033635,0.188578310138665,-0.190211994667031,-0.0641779742151414,0.323516885629414,0.147109719457159,-0.135945385161171,0.00912715131158507,0.152359939032725
"explicit",0.247528415989257,1,0.038157980881619,0.0163562535867419,-0.110730677130725,0.0549921830518686,-0.139827083452992,0.224949178110767,0.071539462712243,-0.0692047551227763,0.0188369969961015,0.19533390959036,0.516715092068012,-0.0994824453770971,-0.0151679536970396,0.0381579096016535
"duration_ms",0.152359491534933,0.038157980881619,1,0.000153792457336244,-0.10873950907517,0.0533605618876944,-0.222739948873029,0.073047243433523,0.0921464772791698,0.0372771893368177,0.00602264009910119,0.00870468618804686,0.0433811794922299,-0.137272073355541,-0.0300607781844545,0.999999999680721
"key",0.00835816268388415,0.0163562535867419,0.000153792457336244,1,-0.147038521086751,0.0060615795991037,-0.014459568914948,0.0144119753483391,0.0110141482822287,-0.00112409545811893,-0.00336684922111352,0.00590308697213027,0.0253421479221019,0.0144798428317055,-0.0169944206941902,0.000154166675413573
"mode",-0.0828132639056532,-0.110730677130725,-0.10873950907517,-0.147038521086751,1,-0.0358350415406572,0.117585295751925,-0.149469239963274,-0.0863149618162466,-0.0193651321516556,0.0103120850140196,-0.0547470277231461,-0.127467016965388,-0.0408829667398526,0.0288977598560488,-0.108739685533657
"time_signature",0.0738567861520645,0.0549921830518686,0.0533605618876944,0.0060615795991037,-0.0358350415406572,1,-0.177381243831705,0.198943376726259,0.183785467086129,0.0099206675003186,-0.00781421804558702,0.084766885229658,0.0611774231384543,0.13917550985957,-0.0245356926363514,0.053360677921913
"acousticness",-0.223918437481438,-0.139827083452992,-0.222739948873029,-0.014459568914948,0.117585295751925,-0.177381243831705,1,-0.269730594337717,-0.574510854009574,0.0286323009670938,0.0230096853244831,-0.375105474087575,-0.126548246854472,-0.176063011372839,-0.0955997003618531,-0.222739875617449
"danceability",0.0921321386033635,0.224949178110767,0.073047243433523,0.0144119753483391,-0.149469239963274,0.198943376726259,-0.269730594337717,1,0.159099419856415,0.0103695433988331,-0.141277317658042,0.0823006343778727,0.227849789896765,0.434654290754291,-0.179330967540813,0.0730474192167221
"energy",0.188578310138665,0.071539462712243,0.0921464772791698,0.0110141482822287,-0.0863149618162466,0.183785467086129,-0.574510854009574,0.159099419856415,1,-0.0783558055228284,0.126272851972298,0.682299312082337,0.146521743925091,0.356191641862291,0.150842165834432,0.0921466307901755
"instrumentalness",-0.190211994667031,-0.0692047551227763,0.0372771893368177,-0.00112409545811893,-0.0193651321516556,0.0099206675003186,0.0286323009670938,0.0103695433988331,-0.0783558055228284,1,-0.0333194771492064,-0.170266778944224,-0.0652189308341012,-0.0149704811205448,0.00172659877078675,0.0372769137246191
"liveness",-0.0641779742151414,0.0188369969961015,0.00602264009910119,-0.00336684922111352,0.0103120850140196,-0.00781421804558702,0.0230096853244831,-0.141277317658042,0.126272851972298,-0.0333194771492064,1,0.049458530285241,0.0802439592028874,0.00247922203680507,0.0185637955334015,0.006022547085856
"loudness",0.323516885629414,0.19533390959036,0.00870468618804686,0.00590308697213027,-0.0547470277231461,0.084766885229658,-0.375105474087575,0.0823006343778727,0.682299312082337,-0.170266778944224,0.049458530285241,1,0.156890608949608,0.0312962187458405,0.0759857488055131,0.00870500012091321
"speechiness",0.147109719457159,0.516715092068012,0.0433811794922299,0.0253421479221019,-0.127467016965388,0.0611774231384543,-0.126548246854472,0.227849789896765,0.146521743925091,-0.0652189308341012,0.0802439592028874,0.156890608949608,1,0.015319836656491,0.0350198476314787,0.0433811322426705
"valence",-0.135945385161171,-0.0994824453770971,-0.137272073355541,0.0144798428317055,-0.0408829667398526,0.13917550985957,-0.176063011372839,0.434654290754291,0.356191641862291,-0.0149704811205448,0.00247922203680507,0.0312962187458405,0.015319836656491,1,0.0650064634942723,-0.137272133600767
"tempo",0.00912715131158507,-0.0151679536970396,-0.0300607781844545,-0.0169944206941902,0.0288977598560488,-0.0245356926363514,-0.0955997003618531,-0.179330967540813,0.150842165834432,0.00172659877078675,0.0185637955334015,0.0759857488055131,0.0350198476314787,0.0650064634942723,1,-0.0300609113794697
"duration_min",0.152359939032725,0.0381579096016535,0.999999999680721,0.000154166675413573,-0.108739685533657,0.053360677921913,-0.222739875617449,0.0730474192167221,0.0921466307901755,0.0372769137246191,0.006022547085856,0.00870500012091321,0.0433811322426705,-0.137272133600767,-0.0300609113794697,1
