song_rank,song_name,artist_name,main_genre,release_date,total_year_end_score
1,Radioactive,"Imagine Dragons","modern rock",NULL,10623
2,"I'm Yours","Jason Mraz","acoustic pop",2008,9256
3,"How Do I Live","LeAnn Rimes","contemporary country",2003,8972
4,"Counting Stars",OneRepublic,"dance pop",2013,8563
5,"Rolling in the Deep",Adele,"british soul",2011,8163
6,Sail,AWOLNATION,"la indie",2013,7928
7,"Shape of You","Ed Sheeran",pop,2017,7670
8,"Before He Cheats","Carrie Underwood","contemporary country",2005,7471
9,"You And Me",Lifehouse,"alternative metal",2005,7345
10,"Smooth (As Made Famous By Santana Featuring Rob Thomas)","The Karaoke Crew",NULL,NULL,7231
11,"I Gotta Feeling","The Black Eyed Peas","dance pop",2009,7193
12,"Need You Now","Lady Antebellum","contemporary country",2010,7151
13,Perfect,"Ed Sheeran",pop,2017,7064
14,"Ho Hey","The Lumineers",folk-pop,NULL,7021
15,"Thinking out Loud","Ed Sheeran",pop,2014,6949
16,"Macarena (Bayside Boys Mix) - (Tribute to Los Del Rio)","Studio Allstars",NULL,NULL,6713
17,"I Don't Want to Wait","Paula Cole",NULL,NULL,6608
18,"All of Me","John Legend","neo mellow",2013,6586
19,"CAN’T STOP THE FEELING!","Rockabye Baby!",NULL,NULL,6578
20,"Too Close",Next,"boy band",1997,6565
21,"Truly Madly Deeply","Savage Garden","australian pop",1997,6506
22,"Hanging By A Moment",Lifehouse,"alternative metal",2000,6448
23,"Wake Me Up",Avicii,"big room",2013,6395
24,"Viva La Vida",Coldplay,"permanent wave",2008,6385
25,"Stay With Me","Sam Smith",pop,2014,6380
26,Unwell,"Matchbox Twenty","neo mellow",2007,6359
27,"That's What I Like","Bruno Mars",pop,2016,6309
28,"Shake It Off","Taylor Swift","dance pop",2014,6275
29,Amazed,Lonestar,"contemporary country",NULL,6253
30,Demons,"Imagine Dragons","modern rock",NULL,6198
31,"Trap Queen","Fetty Wap","new jersey rap",2015,6190
32,Breathe,"Faith Hill","contemporary country",1999,6117
33,"You Belong With Me","Taylor Swift","dance pop",2008,6111
34,"Call Me Maybe","Carly Rae Jepsen","canadian pop",2012,6101
35,"Drops Of Jupiter (Tell Me)","Vitamin String Quartet",NULL,NULL,6064
36,"Hey, Soul Sister",Train,"neo mellow",2010,6050
37,"How's It Going to Be","Third Eye Blind","alternative rock",1997,6024
38,"Meant To Be","2017 Dynamo Hitz",NULL,NULL,6017
39,"The Way You Love Me","Faith Hill","contemporary country",1999,5993
39,"Here Without You","3 Doors Down","alternative metal",2002,5993
40,"Use Somebody","Kings of Leon","garage rock",2008,5983
41,"Some Nights",fun.,"baroque pop",2012,5982
42,"How to Save a Life","The Fray","modern rock",2005,5977
43,"Love Story","Taylor Swift","dance pop",2008,5950
44,Believer,"Imagine Dragons","modern rock",2017,5868
45,"Just the Way You Are","Bruno Mars",pop,2010,5846
46,Missing,"Everything But The Girl",NULL,NULL,5838
47,"The Hills","The Weeknd","canadian contemporary r&b",2015,5801
48,Higher,Creed,"alternative metal",1999,5780
49,"Big Girls Don't Cry (Personal)",Fergie,NULL,NULL,5767
50,"You Make Me Wanna...",Usher,"atl hip hop",1997,5729
51,"Barely Breathing","Duncan Sheik","neo mellow",NULL,5713
52,Kryptonite,"3 Doors Down","alternative metal",NULL,5705
53,Dynamite,"Taio Cruz","dance pop",2010,5683
54,"How You Remind Me",Nickelback,"alternative metal",2001,5672
55,Stitches,"Shawn Mendes","canadian pop",2015,5668
56,"Together Again","Janet Jackson","dance pop",1997,5662
57,"Stressed Out","Twenty One Pilots","pop punk",2015,5661
58,"All About That Bass","Meghan Trainor","dance pop",2015,5651
59,"What Hurts The Most","Rascal Flatts","contemporary country",2006,5632
60,"F**k You(Forget You)","Hit Masters",NULL,NULL,5516
61,"Nobody Knows","The Tony Rich Project","new jack swing",1996,5464
62,"If I Die Young","The Band Perry","contemporary country",NULL,5418
63,"Yeah! (feat. Lil Jon & Ludacris)","Lil Jon","atl hip hop",2004,5415
64,"Shut Up and Dance","WALK THE MOON","indie pop",2014,5406
65,Pompeii,Bastille,metropopolis,2013,5357
66,"Whoomp! (There It Is)","Tag Team",NULL,NULL,5341
67,"Since U Been Gone","Kelly Clarkson",NULL,NULL,5326
68,Someday,Nickelback,"alternative metal",2003,5280
69,Thunder,"Imagine Dragons","modern rock",2017,5279
70,Run-Around,"Blues Traveler","alternative rock",1994,5252
71,"Say You Won't Let Go","James Arthur","dance pop",2016,5245
72,Apologize,OneRepublic,"dance pop",2008,5237
73,"Just Dance","Lady Gaga","dance pop",2008,5235
74,"Another Night","Real McCoy",NULL,NULL,5199
75,"Unchained Melody","The Righteous Brothers","adult standards",1965,5198
76,Breakaway,"Kelly Clarkson","australian pop",2004,5187
77,"Quit Playing Games (With My Heart)","Backstreet Boys",NULL,NULL,5151
78,"Something About The Way You Look Tonight - Edit Version","Elton John",NULL,NULL,5103
79,Sorry,"Justin Bieber","canadian pop",2015,5092
80,"Semi-Charmed Life","Third Eye Blind","alternative rock",1997,5083
81,"I Won't Give Up","Jason Mraz","acoustic pop",2012,5081
82,"Change the World","Eric Clapton","album rock",1999,5065
83,"Un-Break My Heart","Toni Braxton","dance pop",NULL,5064
84,"Wherever You Will Go","The Calling","neo mellow",NULL,5058
85,"We Belong Together","Mariah Carey","dance pop",NULL,5056
86,Chandelier,Sia,"australian dance",2014,5046
87,Sugar,"Maroon 5",pop,2015,5039
88,Royals,Lorde,"art pop",2013,5006
89,Paralyzer,"Finger Eleven","alternative metal",2007,4961
90,"Love Yourself","Justin Bieber","canadian pop",2015,4936
91,"New Rules","Dua Lipa","dance pop",2017,4929
92,"Sexy And I Know It",LMFAO,"dance pop",2011,4922
93,"Can't Feel My Face","The Weeknd","canadian contemporary r&b",2015,4911
94,Mirrors,"Justin Timberlake","dance pop",2013,4904
95,"This Kiss","Faith Hill","contemporary country",NULL,4882
96,"This Love","Maroon 5",pop,NULL,4866
97,"Feel Good Inc.",Gorillaz,"alternative hip hop",2005,4859
98,Bubbly,"Colbie Caillat","dance pop",2007,4858
99,"It's Been Awhile",Staind,"alternative metal",2001,4853
100,"Just A Kiss","Lady Antebellum","contemporary country",2011,4850
